Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 400kV N0 1 CHAMBRY - MERY-SUR-SEINE;93087;1812;1988;1988;2124;4,148;32,015;155,331;988,87
LIT 225kV N0 1 CERGY - PLESSIS-GASSOT;43020;520;782;782;998;1,982;17,165;62,489;397,818
LIT 225kV N0 1 CERGY-PORCHEVILLE;27066;926;1060;1060;1181;1,632;10,7;38,734;246,587
LIT 225kV N0 1 CERGY-PUISEUX;4670;1172;1285;1285;1388;0,28;1,865;6,754;42,995
LIT 400kV N0 1 CERGY-MEZEROLLES;32739;2200;2300;2300;2400;0,991;10,236;60,342;384,146
LIT 400kV N0 1 CERGY-TERRIER;28595;2366;2596;2596;2778;0,876;9,212;51,294;326,549
LIT 400kV N0 2 CERGY-MEZEROLLES;32714;2200;2300;2300;2400;0,99;10,227;60,288;383,808
LIT 400kV N0 2 CERGY-TERRIER;28712;2366;2596;2596;2778;0,879;9,253;51,486;327,768
LIT 225kV NO 1 CERNAY-VESLE;17550;1172;1285;1285;1388;1,051;7,006;25,311;161,138
LIT 225kV NO 2 CERNAY-VESLE;17550;1172;1285;1285;1388;1,051;7,006;25,317;161,172
LIT 225kV NO 1 CHABOSSIERE (LA)-CHEVIRE;7334;1249;1337;1337;1432;0,422;2,86;10,549;67,157
LIT 225kV NO 1 CHABOSSIERE (LA)-CORDEMAIS-POSTE;19522;1249;1337;1337;1432;1,114;7,536;27,921;177,749
LIT 400kV N0 1 CHAFFARD (LE) - COULANGE;137425;3465;3544;3544;3575;4,154;41,629;259,526;1652,193
LIT 400kV N0 1 CHAFFARD (LE) - CHAMPAGNIER;104135;2110;2246;2246;2382;3,159;34,992;181,147;1153,216
LIT 400kV N0 1 CHAFFARD (LE) - GRANDE-ILE;75696;3465;3622;3622;3780;1,44;20,469;160,814;1023,776
LIT 400kV N0 1 CHAFFARD (LE) - MIONS;12222;1764;1876;1876;1988;0,543;4,174;20,6;131,144
LIT 400kV N0 1 CHAFFARD (LE) - PIVOZ-CORDIER;46957;2300;2450;2450;2600;1,409;14,276;88,489;563,337
LIT 400kV N0 1 CHAFFARD (LE) - ST-VULBAS-OUEST;18713;2300;2400;2400;2400;0,562;5,705;35,187;224,009
LIT 400kV NO 2 CHAFFARD (LE)-CHAMPAGNIER;84001;2110;2246;2246;2382;2,256;27,609;148,141;943,092
LIT 400kV NO 2 CHAFFARD (LE)-GRANDE-ILE;75759;3465;3622;3622;3780;1,441;20,472;160,813;1023,765
LIT 400kV NO 2 CHAFFARD (LE)-MIONS;13304;2200;2300;2300;2400;0,288;3,687;29,339;186,778
LIT 400kV NO 2 CHAFFARD (LE)-PIVOZ-CORDIER;46957;2300;2450;2450;2600;1,409;14,283;88,529;563,59
LIT 400kV NO 2 CHAFFARD (LE)-ST-VULBAS-OUEST;18722;2300;2400;2400;2400;0,562;5,71;35,195;224,058
LIT 400kV N0 3 CHAFFARD (LE) - ST-VULBAS-OUEST;18962;2300;2400;2400;2400;0,569;5,784;35,643;226,912
LIT 400kV N0 4 CHAFFARD (LE) - ST-VULBAS-OUEST;18944;2300;2450;2450;2600;0,569;5,778;35,615;226,734
LIT 225kV NO 1 CHAINGY-DAMBRON;26338;888;983;983;1042;1,572;10,561;37,293;237,417
LIT 225kV N0 2 CHAINGY - DAMBRON;26253;888;983;983;1042;2,522;11,141;35,463;225,767
LIT 225kV NO 3 CHAINGY-DAMBRON;26624;1099;1099;1264;1264;1,577;10,534;49,624;315,917
LIT 400kV N0 1 CHAINGY - VERGER;23926;1332;1796;1796;2098;0,716;7,287;45,037;286,713
LIT 400kV NO 2 CHAINGY-VERGER;24011;1332;1796;1796;2098;0,715;7,275;44,976;286,326
LIT 225kV NO 1 CHALON-CHAMPVANS;61860;641;742;742;836;5,585;25,536;86,199;548,76
LIT 225kV NO 1 CHALON-GROSNE;25080;1400;1500;1500;1550;0,752;7,047;51,372;327,043
LIT 225kV NO 2 CHALON-GROSNE;25070;1400;1500;1500;1550;0,752;7,047;51,372;327,043
LIT 400kV N0 1 CHANCEAUX - DISTRE;79155;2200;2300;2300;2400;2,318;24,1;149,4;951,112
LIT 400kV N0 1 CHANCEAUX - LARCAY;22167;3465;3622;3622;3780;0,445;5,843;48,331;307,683
LIT 400kV N0 1 CHANCEAUX - QUINTES (LES);59410;3465;3622;3622;3780;1,191;15,651;129,768;826,132
LIT 400kV N0 1 CHANCEAUX - VILLERBON;64267;2200;2300;2300;2400;1,912;19,401;120,181;765,093
LIT 400kV NO 2 CHANCEAUX-LARCAY;22076;3465;3622;3622;3780;0,445;5,839;48,306;307,524
LIT 400kV NO 2 CHANCEAUX-QUINTES (LES);59431;3465;3622;3622;3780;1,191;15,652;129,773;826,159
LIT 225kV NO 2 CHANCENAY-REVIGNY;16240;1172;1285;1285;1375;0,977;6,515;23,545;149,893
LIT 400kV N0 1 CHARPENAY - GREPILLES;56958;2168;2308;2308;2448;1,777;17,251;107,843;686,547
LIT 400kV N0 1 CHARPENAY - PIVOZ-CORDIER;49628;3465;3622;3622;3780;0,793;14,471;97,151;618,482
LIT 400kV N0 1 CHARPENAY - ST-VULBAS-OUEST;56864;2300;2450;2450;2600;1,711;17,373;107,493;684,322
LIT 400kV NO 2 CHARPENAY-ECHALAS;32880;3465;3622;3622;3780;0,533;9,712;65,537;417,219
LIT 400kV NO 2 CHARPENAY-GREPILLES;56975;2168;2308;2308;2448;1,712;17,367;107,36;683,478
LIT 400kV NO 2 CHARPENAY-ST-VULBAS-OUEST;56822;2300;2450;2450;2600;1,711;17,374;107,35;683,411
LIT 225kV N0 1 CHAVANOD-GENISSIAT-POSTE;39113;617;659;685;742;4,69;16,11;56;
LIT 225kV NO 1 CHESNOY (LE)-COURTRY;19948;899;984;984;1061;1,747;8,063;28,208;179,581
LIT 225kV N0 1 CHESNOY (LE)-NEMOURS;36369;520;782;782;998;2,114;14,347;52,954;337,116
LIT 225kV NO 1 CHESNOY (LE)-ROUSSON;45817;786;867;867;948;4,082;18,523;89,38;569,01
LIT 225kV NO 2 CHESNOY (LE)-COURTRY;20002;920;920;1100;1100;1,181;7,961;44,803;285,225
LIT 225kV NO 3 CHESNOY (LE)-COURTRY;20002;890;890;1130;1130;1,17;7,98;43;
LIT 400kV N0 1 CHESNOY (LE) - CIROLLIERS;59413;1022;1614;1614;1956;1,823;20,419;98,911;629,688
LIT 400kV N0 1 CHESNOY (LE) - MERY-SUR-SEINE;82126;2366;2596;2596;2778;;;;
LIT 400kV N0 1 CHESNOY (LE) - MORBRAS;47257;2300;2522;2522;2696;1,451;15,877;81,413;518,289
LIT 400kV N0 1 CHESNOY (LE) - TABARDERIE;91716;2138;2356;2356;2522;2,847;31,537;157,016;999,594
LIT 400kV NO 2 CHESNOY (LE)-CIROLLIERS;59375;1022;1614;1614;1956;1,819;20,373;98,798;628,969
LIT 400kV N0 2 CHESNOY (LE)-MERY-SUR-SEINE;82301;2366;2596;2596;2778;2,468;25,046;154,853;985,823
LIT 400kV NO 2 CHESNOY (LE)-MORBRAS;47265;2300;2400;2400;2600;1,451;15,878;81,439;518,458
LIT 400kV N0 2 CHESNOY (LE)-TABARDERIE;88132;2814;3110;3110;3338;1,854;26,679;169,573;1079,532
LIT 400kV N0 3 CHESNOY (LE)-TABARDERIE;88086;2814;3110;3110;3338;1,838;26,463;167,287;1064,985
LIT 225kV NO 1 CHEVIRE-CORDEMAIS-POSTE;26236;1175;1258;1258;1347;1,493;10,134;37,438;238,338
LIT 225kV NO 1 CHEVIRE-MERLATIERE;52396;1249;1337;1337;1432;2,997;20,647;75,998;483,815
LIT 225kV NO 1 CHEVIRE-VERTOU;11895;706;821;821;911;1,074;4,891;16,549;105,352
LIT 400kV N0 1 CHEVALET - GAVRELLE;29821;3465;3622;3622;3780;0,595;7,809;64,662;411,649
LIT 400kV N0 1 CHEVALET - LATENA;66195;2366;2596;2596;2778;1,977;20,03;124,853;794,838
LIT 400kV N0 1 CHEVALET - WARANDE;103283;2570;2718;2718;2914;3,115;31,604;195,822;1246,642
LIT 400kV NO 2 CHEVALET-GAVRELLE;29821;3465;3622;3622;3780;0,598;7,859;65,085;414,346
LIT 400kV NO 2 CHEVALET-LATENA;66209;2366;2596;2596;2778;1,97;19,967;124,238;790,926
LIT 400kV NO 2 CHEVALET-WARANDE;103253;2570;2718;2718;2914;3,113;31,59;195,749;1246,175
LIT 225kV NO 1 CHOLET-DISTRE;66007;915;915;1075;1075;3,953;26,547;100,54;640,054
LIT 225kV N0 1 CHOLET - MAUGES (LES);25072;1249;1337;1337;1434;1,565;10,41;37,689;239,935
LIT 225kV NO 1 CHOLET-VAL-DE-SEVRE;38688;803;858;858;918;4,502;16,299;53,157;338,407
LIT 225kV NO 2 CHOLET-DISTRE;89929;957;1023;1023;1096;7,299;36,334;127,618;812,439
LIT 225kV NO 1 CHOOZ-MAZURES;29393;1100;1187;1187;1302;0,852;8,755;57,637;366,925
LIT 225kV NO 2 CHOOZ-MAZURES;29849;843;909;909;996;0,759;9,395;55,28;351,923
LIT 225kV N0 1 CIROLLIERS - LOGES (LES);7205;880;880;1130;1130;0,4;2,709;35,374;225,201
LIT 225kV N0 2 CIROLLIERS - LOGES (LES);7205;880;880;1130;1130;0,377;2,555;34,821;221,677
LIT 400kV N0 1 CIROLLIERS - GATINAIS;53850;3465;3622;3622;3780;1,068;14,027;116,258;740,123
LIT 400kV N0 1 CIROLLIERS - VILLEJUST;19640;2300;2522;2522;2696;0,609;6,8;32,768;208,607
LIT 400kV NO 2 CIROLLIERS-GATINAIS;52955;3465;3622;3622;3780;1,067;14,021;116,217;739,86
LIT 400kV NO 2 CIROLLIERS-VILLEJUST;19807;2300;2522;2522;2696;0,614;6,865;33,035;210,31
LIT 400kV N0 3 CIROLLIERS-VILLEJUST;21904;1812;1988;1988;2124;0,928;7,271;38,253;243,524
LIT 225kV NO 1 CISSAC-MARQUIS (LE);39310;1172;1248;1248;1310;2,285;15,118;108,21;
LIT 225kV N0 1 CIZE-FLEYRIAT;24233;1059;1067;1141;1212;1,216;7,669;57,431;365,614
LIT 225kV N0 1 CIZE-IZERNORE;6970;1059;1141;1141;1215;0,454;2,701;10,02;63,791
LIT 225kV NO 1 CLEON-GRAND-COURONNE;5470;1308;1408;1408;1478;0,328;2,197;7,876;50,137
LIT 225kV NO 1 CLEON-MANOIR (LE);14651;1270;1366;1366;1433;0,88;5,92;21;
LIT 225kV NO 2 CLEON-GRAND-COURONNE;5473;1308;1408;1408;1478;0,329;2,198;7,908;50,342
LIT 225kV NO 1 COLAYRAC-DONZAC;29278;831;984;984;1099;1,756;11,772;41,8;266,109
LIT 225kV NO 1 COLAYRAC-GUPIE;53496;895;980;;1070;3,214;21,383;77,387;492,659
LIT 225kV NO 1 COMMERVEIL-CHAMPFLEUR;21943;1249;1316;1316;1389;1,317;8,75;31,778;202,308
LIT 225kV NO 1 COMPIEGNE-LATENA;35410;881;964;964;1040;3,041;14,566;49,468;314,924
LIT 225kV N0 1 COMPIEGNE-MORU;21472;716;817;817;910;1,82;8,91;29,45;
LIT 225kV N0 1 CONCARNEAU - POTEAU-ROUGE;56304;1056;1123;1123;1189;3,245;22,203;81,679;519,984
LIT 225kV N0 1 CONCARNEAU-SQUIVIDAN;26103;1056;1123;1123;1189;1,516;10,244;37,528;238,911
LIT 225kV NO 1 CONFLUENT-CHAMPAGNIER;22412;618;718;718;800;1,76;9,15;30;
LIT 225kV NO 1 CONFLUENT-PARISET;2045;850;850;1078;1078;0,12;0,78;9;
LIT 225kV NO 1 CONTAMINE-GRAND-COEUR;8384;966;1076;1076;1168;0,548;3,245;12,125;77,19
LIT 225kV NO 1 CONTAMINE-MALGOVERT;27527;565;673;673;765;2,26;10,86;38;
LIT 225kV NO 1 COQUAINVILLIERS-DRONNIERE (LA);41564;955;955;1130;1130;2,484;16,711;69,036;439,497
LIT 225kV NO 1 COQUAINVILLIERS-ROUGEMONTIER;46232;1308;1408;1408;1478;2,797;18,835;66,651;424,314
LIT 225kV NO 1 COQUAINVILLIERS-TOURBE;36875;1308;1408;1408;1478;2,212;14,928;52,505;334,257
LIT 225kV NO 2 COQUAINVILLIERS-ROUGEMONTIER;46234;1308;1408;1408;1478;2,765;18,62;65,864;419,3
LIT 225kV NO 1 CORDEMAIS-POSTE-GUERSAC;25350;990;990;1210;1210;1,464;9,802;70,371;447,997
LIT 225kV N0 1 CORDEMAIS-POSTE - POTEAU-ROUGE;130633;1249;1337;1337;1434;7,762;51,773;188,263;1198,522
LIT 225kV N0 1 CORDEMAIS-POSTE-PONTCHATEAU;30704;829;909;909;984;2,524;12,411;43,493;276,888
LIT 225kV NO 1 CORDEMAIS-POSTE-ST-JOSEPH;35568;795;795;858;918;2,799;14,163;55,983;356,397
LIT 225kV NO 2 CORDEMAIS-POSTE-PONTCHATEAU;24461;1249;1337;1337;1432;1,421;9,618;35,648;226,939
LIT 400kV N0 1 CORDEMAIS-P - LOUISFERT (poste F);55095;2200;2300;2300;2400;1,686;16,992;104,958;668,184
LIT 400kV NO 2 CORDEMAIS-POSTE-DISTRE;150857;2200;2300;2300;2400;4,521;45,811;284,187;1809,192
LIT 400kV NO 2 CORDEMAIS-P-LOUISFERT (poste F);55184;2200;2300;2300;2400;1,68;16,936;104,619;666,023
LIT 400kV NO 2 CORDEMAIS-POSTE-MARTYRE (LA);238261;2200;2300;2300;2400;7,083;72,149;450,366;2867,118
LIT 225kV NO 1 CORBIERE (LA)-DISTRE;45457;1213;1298;1298;1375;2,766;18,428;63,777;406,02
LIT 225kV NO 2 CORBIERE (LA)-DISTRE;45808;1249;1337;1337;1434;2,745;18,496;65,419;416,468
LIT 225kV NO 3 CORBIERE (LA)-DISTRE;45814;1249;1337;1337;1434;2,745;18,499;65,429;416,532
LIT 225kV NO 1 CORNIER-PRESSY;22797;966;1076;1076;1168;1,453;8,965;33,211;211,43
LIT 225kV NO 2 CORNIER-GENISSIAT-POSTE;39423;396;660;660;830;2,437;15,786;57,103;363,53
LIT 400kV N0 1 CORNIER - GENISSIAT-POSTE;41841;3456;3622;3622;3780;0,764;11,675;86,294;549,362
LIT 400kV N0 1 CORNIER - MONTAGNY-LES-LANCHES;68867;2304;2462;2462;2654;1,649;21,038;133,825;851,956
LIT 225kV NO 1 COSSIGNY-MORBRAS;6135;888;972;972;1049;0,516;2,482;8,671;55,201
LIT 225kV NO 1 COUCHEY-CHAMPVANS;39710;847;985;985;1116;2,388;15,865;57,57;366,499
LIT 225kV NO 1 COUCHEY-VIELMOULIN;29900;800;900;900;1000;1,798;11,941;43,364;276,063
LIT 225kV N0 1 COUDON (LE)-ESCAILLON (L );13200;1062;1160;1160;1238;0,786;5,258;19,284;122,768
LIT 225kV N0 1 COUDON (LE) - NEOULES;16595;1001;1093;1093;1165;1,094;6,574;24,039;153,038
LIT 225kV NO 2 COUDON (LE)-NEOULES;16604;1001;1093;1093;1165;1,096;6,601;23,971;152,605
LIT 400kV N0 1 COULANGE - PIVOZ-CORDIER;90711;2168;2308;2308;2448;2,725;27,563;171,027;1088,79
LIT 400kV N0 1 COULANGE - TAVEL;73242;2144;2284;2284;2448;2,283;21,794;141,686;902,003
LIT 400kV N0 1 COULANGE - TRICASTIN-POSTE (LE);45370;2168;2308;2308;2448;1,371;13,485;84,062;535,158
LIT 400kV NO 2 COULANGE-PIVOZ-CORDIER;90718;2168;2308;2308;2448;2,706;27,369;169,847;1081,278
LIT 400kV NO 2 COULANGE-TRICASTIN-POSTE (LE);45546;2168;2308;2308;2448;1,404;13,77;85,89;546,793
LIT 400kV N0 3 COULANGE - TRICASTIN-POSTE (LE);45546;2168;2308;2308;2448;1,404;13,77;85,89;546,793
LIT 225kV NO 1 CHAMPAGNIER-EYBENS;8400;1093;1178;1178;1253;0,519;3,384;12,283;78,195
LIT 225kV NO 1 CHAMPAGNIER-GRISOLLES;82181;734;856;856;964;5,011;32,529;130,76;832,447
LIT 225kV NO 1 CHAMPAGNIER-MOIRANS;35406;1123;1211;1211;1290;1,075;11,551;63,663;405,294
LIT 225kV NO 1 CHAMPAGNIER-PARISET;9410;570;659;659;739;1,13;3,95;14;
LIT 225kV NO 1 CHAMPAGNIER-SERRE-PONCON;98635;734;856;856;964;5,92;39,82;150;
LIT 225kV N0 2 CHAMPAGNIER - EYBENS;8569;1014;1014;1178;1191;0,517;3,368;12,226;77,833
LIT 225kV NO 1 CHAMPAGNOLE - FRASNE;24838;801;930;930;1053;1,637;9,735;36,168;230,251
LIT 225kV NO 1 CHAMPAGNOLE-GENISSIAT-POSTE;85139;264;437;437;545;11,011;36,498;113,912;725,184
LIT 225kV NO 1 CHAMPAGNOLE-PALENTE;61995;455;555;555;632;8,1;27,071;84,618;538,695
LIT 225kV NO 1 CHAMPVANS-PYMONT;48515;751;923;923;1056;2,767;19,099;70,439;448,426
LIT 225kV N0 1 CRECHETS (LES)-GUARBECQUE;23478;;;;;1,43;9,5;34,517;219,744
LIT 225kV N0 1 CRECHETS (LES) - WEPPES;14607;1273;1346;1346;1453;0,876;5,842;21,111;134,397
LIT 225kV NO 2 CRECHETS (LES)-WEPPES;14426;810;810;945;945;0,872;5,815;28,639;182,319
LIT 225kV N0 1 CRENEY - FRONCLES;84751;899;984;984;1061;6,818;34,112;120,212;765,294
LIT 225kV NO 1 CRENEY-ROSIERES;30108;899;984;984;1061;2,31;12,393;42,021;267,514
LIT 400kV N0 1 CRENEY - MERY-SUR-SEINE;26420;1812;1988;1988;2124;1,172;9,065;44,219;281,508
LIT 400kV N0 1 CRENEY - REVIGNY;84290;2366;2400;2400;2600;2,595;27,828;146;929,462
LIT 400kV N0 1 CRENEY - VIELMOULIN;122400;1684;1854;1854;1986;5,532;42,281;205,432;1307,819
LIT 400kV N0 1 CREYS - GRANDE-ILE;59949;2946;3144;3144;3344;1,271;18,454;114,844;731,119
LIT 400kV N0 1 CREYS - GENISSIAT-POSTE;52982;2750;2875;2875;3000;1,112;16,141;108,028;687,728
LIT 400kV N0 1 CREYS - ST-VULBAS-OUEST;21120;2946;3144;3144;3344;0,445;6,452;40,137;255,518
LIT 400kV NO 2 CREYS-GRANDE-ILE;59961;2946;3144;3144;3344;1,271;18,452;114,833;731,048
LIT 400kV NO 2 CREYS-GENISSIAT-POSTE;52982;2600;2700;2700;2800;1,113;16,161;100,729;641,263
LIT 400kV NO 2 CREYS-ST-VULBAS-OUEST;21120;2946;3144;3144;3344;0,445;6,448;40,112;255,363
LIT 225kV NO 1 CUBNEZAIS-GREZILLAC;34160;932;1049;1049;1126;1,983;13,287;49,369;314,292
LIT 225kV NO 1 CUBNEZAIS-MARQUIS (LE);11884;1748;2048;2048;2222;0,359;3,488;22,04;140,309
LIT 225kV NO 1 CUBNEZAIS-MONTGUYON;36716;951;1104;1104;1170;2,529;14,39;54,08;344,285
LIT 225kV NO 1 CUBNEZAIS-TUILIERES;95931;1080;1185;1185;1289;3,867;26,093;226,232;1440,235
LIT 400kV N0 1 CUBNEZAIS - DONZAC;185782;3150;3307;3307;3465;3,748;49,276;408,942;2603,404
LIT 400kV N0 1 CUBNEZAIS - PLAUD;141227;1850;2194;2194;2370;4,332;48,595;232,649;1481,092
LIT 400kV N0 1 CUBNEZAIS - SAUCATS;62591;2374;2522;2522;2624;1,876;19,02;117,897;750,554
LIT 400kV N0 2 CUBNEZAIS-DONZAC;185799;3150;3307;3307;3465;3,748;49,28;407,805;2596,167
LIT 400kV NO 2 CUBNEZAIS-SAUCATS;62536;2374;2522;2522;2624;1,887;19,144;118,608;755,08
LIT 225kV NO 1 CHAUSSEE (LA)-RECY;26238;1172;1268;1268;1355;1,598;10,643;37,134;236,404
LIT 225kV NO 1 CHAUSSEE (LA)-REVIGNY;38162;1140;1248;1248;1347;2,335;15,545;53,816;342,603
LIT 225kV NO 1 COURTRY-SENART;18326;1172;1285;1285;1388;1,073;7,207;48,209;306,908
LIT 400kV N0 1 DAMBRON - GATINAIS;42285;3465;3622;3622;3780;0,848;11,133;92,236;587,193
LIT 400kV N0 1 DAMBRON - VERGER;55724;2200;2300;2300;2400;1,664;16,881;104,598;665,889
LIT 400kV N0 1 DAMBRON-YVELINES-OUEST;113816;2366;2596;2596;2778;3,477;35,298;219,452;1397,074
LIT 400kV NO 2 DAMBRON-GATINAIS;42289;3465;3622;3622;3780;0,848;11,136;92,259;587,339
LIT 400kV NO 2 DAMBRON-VERGER;55724;2200;2300;2300;2400;1,664;16,882;104,518;665,379
LIT 400kV N0 2 DAMBRON - VILLEJUST;71249;2366;2596;2596;2778;2,213;22,42;139,017;885,012
LIT 225kV NO 1 DAMERY-NOGENTEL;37720;;;;;2,257;15,015;54,374;346,158
LIT 225kV NO 1 DAMERY-VESLE;43188;1172;1285;1285;1388;2,612;17,457;62,854;400,139
LIT 225kV NO 1 DANTOU-TUILIERES;45976;642;757;757;845;4,112;18,659;64,672;411,717
LIT 225kV NO 1 DANTOU-VERLHAGUET;66225;289;543;543;682;5,605;25,282;87,551;557,367
LIT 225kV N0 1 DARSE - FEUILLANE;13143;1233;1320;1320;1389;0,787;5,273;18,883;120,211
LIT 225kV N0 1 DARSE-RASSUEN;17682;795;795;970;970;1,028;6,364;108,307;689,503
LIT 225kV N0 2 DARSE-FEUILLANE;13766;1233;1320;1320;1389;0,725;4,838;22,071;140,51
LIT 225kV NO 1 DECHY-MASTAING;19226;935;1000;1000;1080;1,705;18,414;27,131;172,721
LIT 225kV NO 1 DISTRE-ORANGERIE (L);67333;957;1023;1023;1096;5,963;27,297;94,754;603,221
LIT 400kV N0 1 DISTRE - JUMEAUX (LES);46472;2200;2300;2300;2400;1,395;14,155;87,456;556,761
LIT 400kV NO 2 DISTRE-JUMEAUX (LES);46472;2200;2300;2300;2400;1,394;14,142;87,643;557,955
LIT 225kV N0 1 DOBERIE - RANCE-POSTE;37272;1104;1222;1222;1315;2,133;14,721;54,257;345,412
LIT 225kV N0 1 DOBERIE - TREGUEUX;24854;1217;1266;1266;1322;1,421;9,807;36,182;230,339
LIT 400kV N0 1 DOMLOUP - LAUNAY;70591;3465;3622;3622;3780;1,411;18,548;153,791;979,061
LIT 400kV N0 1 DOMLOUP - LOUISFERT (poste F);49232;2494;2676;2676;2778;1,469;14,91;92,035;585,913
LIT 400kV N0 1 DOMLOUP-PLAINE HAUTE;112008;2200;2300;2300;2400;3,396;36,665;197,396;1256,665
LIT 400kV NO 2 DOMLOUP-LAUNAY;70614;3465;3622;3622;3780;1,412;18,552;153,822;979,261
LIT 400kV NO 2 DOMLOUP-LOUISFERT (poste F);49165;2494;2676;2676;2778;1,469;14,91;92,035;585,913
LIT 225kV NO 1 DONZAC-VERLHAGUET;44328;831;960;984;1099;2,644;17,552;75,05;477,782
LIT 400kV N0 1 DONZAC - LESQUIVE;50522;3255;3600;3600;3780;1,007;13,151;107,82;686,402
LIT 400kV NO 2 DONZAC-VERFEIL;90406;3255;3600;3600;3780;1,797;23,746;195,697;1245,845
LIT 225kV NO 1 DONZENAC-FEROUGE;43009;814;983;983;1099;2,58;17,133;62,279;396,48
LIT 225kV NO 1 DRONNIERE (LA)-FLERS;52330;1250;1312;1312;1375;2,977;20,563;75,817;482,663
LIT 225kV N0 1 DRONNIERE (LA) - TOURBE;10567;1308;1408;1408;1478;0,614;4,094;14,797;94,202
LIT 225kV N0 2 DRONNIERE (LA) - TOURBE;10550;1308;1408;1408;1478;0,615;4,098;14,81;94,285
LIT 225kV N0 1 ENCO-DE-BOTTE-ESCAILLON (L );42400;1062;1160;1160;1238;2,547;16,892;61,469;391,324
LIT 225kV NO 1 ENCO-DE-BOTTE-PALUN (LA);17835;1001;1093;1093;1165;1,12;7,113;25,447;
LIT 225kV N0 1 ENCO-DE-BOTTE - RABATAU;14103;400;400;715;715;0,713;4,3;231,835;1475,909
LIT 225kV N0 1 ENCO-DE-BOTTE - REALTOR;23562;1062;1160;1160;1238;1,336;8,918;32,087;204,274
LIT 225kV NO 2 ENCO-DE-BOTTE-PALUN (LA);17816;1001;1093;1093;1165;1,123;7,058;25,779;164,112
LIT 225kV N0 1 ECHALAS - GIVORS;6946;900;910;1015;1080;0,42;2,89;18;
LIT 225kV NO 1 ECHALAS-RIVIERE (LA);28844;1800;2030;2030;2224;0,865;8,422;57,082;363,397
LIT 225kV NO 1 ECHALAS-SOLEIL (LE);28207;1375;1437;1437;1500;0,89;8,83;54;
LIT 225kV N0 2 ECHALAS - GIVORS;7034;900;910;1015;1080;0,42;2,89;22;140,056
LIT 400kV NO 2 ECHALAS-PIVOZ-CORDIER;16748;3465;3622;3622;3780;0,268;4,901;32,791;208,756
LIT 225kV NO 1 ECHINGHEN-MANDARINS;31993;;;;;1,919;12,79;46,211;294,186
LIT 225kV NO 1 ECHINGHEN-SORRUS;29715;935;935;935;935;2,65;12,047;41,776;265,956
LIT 225kV N0 1 EGUZON-MARMAGNE;92576;274;412;412;476;14,456;40,726;130,06;827,989
LIT 225kV NO 1 EGUZON-MAUREIX (LE);76254;905;1003;1003;1063;6,387;30,781;108,205;688,857
LIT 225kV NO 1 EGUZON-MOUSSEAUX;51013;520;831;831;895;4,591;21,708;85,033;541,339
LIT 225kV NO 1 EGUZON-MONTLUCON;79482;497;596;596;663;10,43;34,48;107;
LIT 225kV N0 1 EGUZON-ORANGERIE (L);94599;409;644;644;761;8,454;38,123;132,089;840,902
LIT 225kV NO 1 EGUZON-STE-FEYRE;41628;832;921;921;975;3,918;16,521;60,131;382,808
LIT 400kV N0 1 EGUZON -  MARMAGNE;88128;2170;2300;2300;2400;2,742;30,811;147,817;941,033
LIT 400kV N0 1 EGUZON - PLAUD;85207;2200;2300;2300;2400;2,641;29,645;141,511;900,886
LIT 400kV N0 1 EGUZON - RUEYRES;225707;1390;1730;;1920;6,694;73,668;400,883;2552,101
LIT 400kV N0 1 EGUZON - VALDIVIENNE;76000;3465;3622;3622;3780;1,518;19,985;165,917;1056,262
LIT 400kV N0 1 EGUZON - VERGER;143761;2200;2300;2300;2400;4,171;45,846;262,724;1672,554
LIT 400kV NO 2 EGUZON-VALDIVIENNE;75954;3465;3622;3622;3780;1,517;19,973;165,821;1055,649
LIT 225kV NO 1 ELANCOURT-MEZEROLLES;27540;1140;1248;1248;1347;1,676;10,871;39,983;254,538
LIT 225kV N0 1 ELANCOURT-ST-AUBIN;18556;511;768;768;979;1,122;7,373;29,429;187,354
LIT 225kV N0 1 ELANCOURT-YVELINES-OUEST;12751;1056;1056;1360;1360;0,298;2,013;469,685;2990,108
LIT 225kV NO 1 ENVAL-ISSOIRE;31568;617;740;740;826;2,87;13,21;47;
LIT 225kV NO 1 ENVAL-VOLVIC;15031;814;983;983;1099;0,87;6,07;21;
LIT 225kV N0 1 ESCAILLON (L ) - NEOULES;24415;935;935;1085;1085;0,956;7,044;397,669;2531,642
LIT 225kV NO 1 FALLOU-NOVION;4998;620;620;690;690;0,157;0,536;233,248;1484,903
LIT 225kV N0 2 FALLOU-NOVION;5478;935;935;1105;1105;0,106;0,916;179,152;1140,517
LIT 225kV N0 2 FALLOU - PLESSIS-GASSOT;19369;930;930;1050;1050;1,106;7,46;45,518;289,78
LIT 225kV NO 1 FAMARS-GROS-CAILLOU;17235;975;1030;1030;1110;1,407;6,986;24,584;156,509
LIT 225kV NO 1 FARRADIERE (LA)-GRANZAY;43118;1249;1337;1337;1434;2,551;17,077;61,137;389,208
LIT 225kV NO 1 FEROUGE-TALAMET;41489;895;980;;1070;2,487;16,515;60,03;382,162
LIT 225kV NO 1 FEUILLANE-LAVERA;17020;1233;1320;1320;1389;1,021;6,858;24,347;154,998
