Identifiant géographique / Asset location;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
LIT 400kV NO 2 ATTAQUES (LES)-WARANDE;18221;3465;3622;3622;3780;0,365;4,799;39,752;253,068
LIT 225kV NO 1 AUBE-COMMERVEIL;54801;938;987;987;1041;4,993;22,672;76,131;484,664
LIT 225kV NO 1 AUBE-MEZEROLLES;97448;731;835;835;930;8,662;39,653;137,221;873,577
LIT 225kV NO 1 AUBUSSON-EGUZON;73228;894;991;991;1051;6,57;30,04;99;
LIT 225kV NO 1 AUBUSSON-MOLE (LA);68298;286;531;531;674;6,061;28,674;93,313;594,047
LIT 225kV NO 1 AULNOYE-PONT-SUR-SAMBRE;5897;975;1030;1030;1110;0,534;2,448;8,169;52,004
LIT 225kV NO 1 AUSSOIS-PRAZ-ST-ANDRE;10429;737;820;820;889;1,07;4,33;15;
LIT 225kV NO 1 AUZAT-TARASCON;15767;737;820;820;889;1,64;6,387;22,245;141,615
LIT 225kV NO 1 AVALLON-VIGNOL;35863;661;712;712;779;3,512;15,013;49,591;315,709
LIT 225kV NO 1 AVELIN-COURRIERES;18895;1273;1346;1346;1451;1,086;7,461;27,434;174,65
LIT 225kV N0 1 AVELIN - MASTAING;31508;1273;1346;1346;1453;0,938;10,277;55,057;350,505
LIT 400kV N0 1 AVELIN - GAVRELLE;28060;2238;2412;2412;2622;0,87;9,697;47,055;299,562
LIT 400kV N0 1 AVELIN - MASTAING;30743;2570;2718;2718;2912;0,91;10,249;55,636;354,191
LIT 400kV N0 1 AVELIN - WEPPES;21301;3078;3266;3266;3458;0,53;6,687;38,822;247,151
LIT 400kV N0 2 AVELIN-MASTAING;34061;3465;3622;3622;3780;0,681;8,954;74,336;473,239
LIT 400kV NO 2 AVELIN-WARANDE;87006;3078;3266;3266;3458;2,172;27,866;158,44;1008,657
LIT 225kV NO 1 AVIGNON (POSTE)-CHATEAURENARD;10858;1198;1281;1281;1348;0,663;4,41;15,375;97,883
LIT 225kV NO 1 AVIGNON (POSTE)-MOTTE (LA) (VILLENEUVE-LES-AVIGNON);5860;1233;1320;1320;1389;0,355;2,363;8,541;54,376
LIT 400kV N0 1 AVOINE (POSTE 400 KV) - DISTRE;21649;3196;3488;3488;3582;0,511;6,623;40,861;260,13
LIT 400kV N0 1 AVOINE (POSTE 400 KV) - LARCAY;50336;3465;3622;3622;3780;1,009;13,254;109,909;699,704
LIT 400kV NO 2 AVOINE (POSTE 400 KV)-DISTRE;21667;3196;3488;3488;3582;0,511;6,624;40,871;260,19
LIT 400kV NO 2 AVOINE (POSTE 400 KV)-LARCAY;50339;3465;3622;3622;3780;1,008;13,253;109,896;699,618
