OBJECTID;ID;SYMBOLE;ACTEUR;MAJ;MAJ_GEO;TRACE;CONFIG;ETAT;U_MAX;ID_OBJECT;sub_num;ADR_LIT;IDR_LIT;start;u_code;circn;end;code_start;code_end
20719;70822902;+A11E6;CBP;1415274133000;1295868765000;1;A;E;6;70822902_20719;1;LIT 225kV NO 2 HERBLAY - PIQUAGE HERBLAY A HERBLAY (ZHER7);HERBLL62ZHER7;HERBL;6;2;ZHER7;HERBL;
21271;77156288;+A11E6;CA;1394021960000;1236011755000;1;A;E;6;77156288_21271;1;LIT 225kV NO 1 PLESSIS-GASSOT - PIQUAGE A SAINT-OUEN-L AUMONE (ZLIE5);P.GASL61ZLIE5;P.GAS;6;1;ZLIE5;P.GAS;
22006;60003120;+A11E6;CBP;1418808918000;1245856625000;1;A;E;6;60003120_22006;1;LIT 225kV NO 1 GRANZAY-GRANZ / BXLIE FLEAC 1;GRANZL61ZGRA6;GRANZ;6;1;ZGRA6;GRANZ;
22792;74502067;+A11E6;CBP;1420803812000;1311945670000;1;A;E;6;74502067_22792;1;LIT 225kV NO 2 QUAREZ-QUARE / THIER VALEN 2;QUAREL62ZQUAR;QUARE;6;2;ZQUAR;QUARE;
22814;30002673;+A11E6;CFP;1393841445000;1393841406000;1;A;E;6;30002673_22814;1;LIT 225kV NO 1 SABLES (LES)-SABL5 / CORDE CPNIE 1;SABL5L61ZSABL;SABL5;6;1;ZSABL;SABL5;
22896;73275177;+A11E6;CFP;1420630537000;1458039059000;1;A;E;6;73275177_22896;1;LIT 225kV NO 2 MEZEROLLES - PIQUAGE RICHEBOURG A RICHEBOURG (ZRIC6);MEZE5L62ZRIC6;MEZE5;6;2;ZRIC6;MEZE5;
22956;71059707;+A11E6;RDP;1416320700000;1188815547000;1;A;E;6;71059707_22956;1;LIT 225kV NO 1 BERGHOLZ - PIQUAGE SARREGUEMINES;BERGHL61ZSAR6;BERGH;6;1;ZSAR6;BERGH;
23331;40002506;+A11E6;LCP;1465817388000;1023148800000;1;A;E;6;40002506_23331;1;LIT 225kV N0 1 LOGIS-NEUF - PIQUAGE A MANGOT;L.NEUL61ZMANG;L.NEU;6;1;ZMANG;L.NEU;
23614;30002663;+A11E6;CFP;1393842055000;1393842020000;1;A;E;6;30002663_23614;1;LIT 225kV NO 1 CHAMPAGNIER-SABL5 / CORDE CPNIE 1;CPNIEL61ZSABL;CPNIE;6;1;ZSABL;CPNIE;
23625;76595664;+A11E6;CFP;1454492105000;1002758400000;1;A;E;6;76595664_23625;1;LIT 225kV N0 2 DOMLOUP - PIQUAGE A SAINT-LAURENT;DOMLOL62ZSSL7;DOMLO;6;2;ZSSL7;DOMLO;
23771;77661904;+A11E6;CFP;1413285302000;1410518204000;1;A;E;6;77661904_23771;1;LIT 225kV NO 2 VILLEVAUDE - PIQUAGE A GAGNY;VLEVAL62ZAVR5;VLEVA;6;2;ZAVR5;VLEVA;
23845;71647643;+A11E6;JUL;1400241026000;1295013785000;1;A;E;6;71647643_23845;1;LIT 225kV N0 1 MARNISE (LA) - MARNI / AOSTE BRENS 1;MARNIL61ZMAR8;MARNI;6;1;ZMAR8;MARNI;
23986;72599243;+A11E6;CBP;1410428693000;1302618034000;1;A;E;6;72599243_23986;1;LIT 225kV NO 1 GROSNE - PIQUAGE CURTIL;GROSNL61ZCUR5;GROSN;6;1;ZCUR5;GROSN;
24854;71078507;+A11E6;CFP;1403695461000;1403695375000;1;A;E;6;71078507_24854;1;LIT 225kV NO 1 ST-AVOLD - PIQUAGE SAULNOIS;SSAVOL61ZSAU9;SSAVO;6;1;ZSAU9;SSAVO;
