"OBJECTID";"ID";"SYMBOLE";"ACTEUR";"MAJ";"MAJ_GEO";"TRACE";"CODNAT";"ADR_SITE";"LIB_SUITE";"FONCTION";"PORTIQUE";"POSTE_ISOLE";"ETAT";"U_MAX";"x";"y"
3195;30001937;"+PE7";NA;610761600000;NA;1;"S.BIS";"SUPER-BISSORTE";NA;"P";0;0;"E";7;980843,829999998;6460129,11
3209;10000020;"+PE6";"VC";1374755314000;1374755301000;1;"Q.ECL";"QUATRE-ECLUSES";NA;"P";0;0;"E";6;656367,210000001;7103836,33
3218;60000649;"+PE6";"CGP";787276800000;1270044677000;1;"PARC ";"LE PARC";NA;"P";0;0;"E";6;511772,049999997;6774822,88
3219;60000332;"+PE6";NA;787276800000;NA;1;"CPFL5";"CHAMPFLEUR";NA;"P";0;0;"E";6;485935,100000001;6812471,49
3221;60000805;"+PE6";"CGP";610761600000;1270040522000;1;"SSCAL";"ST-CALAIS";NA;"P";0;0;"E";6;530381,899999999;6759948,19
3222;20000604;"+PE6";NA;610761600000;NA;1;"CXSSE";"CHAUSSEE (LA)";NA;"P";0;0;"E";6;810952,259999998;6860921,95
3226;50000388;"+PE6";"RTP";610761600000;1323105444000;1;"SANIL";"SANILHAC";NA;"P";0;0;"E";6;518154,329999998;6452005,24
3230;30000323;"+PE6";"CFP";1069113600000;1444404515000;1;"PYMON";"PYMONT";NA;"P";0;0;"E";6;895832,090000004;6623518,42
3231;40000935;"+PE6";"CFP";956102400000;1444318762000;1;"ARENC";"ARENC";"(E.D.F. ET S.N.C.F.)";"P";0;0;"E";6;891783,75;6249913,17
3232;70000074;"+PE7";"LCP";757641600000;1444404145000;1;"TOLLE";"TOLLEVAST";NA;"P";0;0;"E";7;367480,82;6953628,45
3233;20001189;"+PE6";"LCP";778982400000;1450168270000;1;"ROUSS";"ROUSSON";NA;"P";0;0;"E";6;720609,189999998;6776521,91
3234;40000477;"+PE6";"CFP";1112194315000;1450185921000;1;"P.ORG";"PLAN-D ORGON";NA;"P";0;0;"E";6;861000,82;6302793,97
3238;30001629;"+PE7";"JUL";610761600000;1448382123000;1;"G.ILE";"GRANDE-ILE";NA;"P";0;0;"E";7;935950;6490274,25
3242;30001106;"+PE6";"CFP";1118228311000;1424175629000;1;"VAISE";"VAISE";"RHONE";"P";0;0;"E";6;840032,68;6522390,96
3243;70013202;"+PE6";"VC";1233075207000;1239278473000;1;"PUTE5";"PUTEAUX";"IMPASSE LEGAGNEUX - PUTEAUX";"P";0;0;"E";6;643560,420000002;6861811,21
3251;30002234;"+PE6";"PSP";9,6984e+11;1273655508000;1;"GRAND";"GRANDVAL";NA;"P";0;0;"E";6;705853,329999998;6424752,81
3253;50000548;"+PE6";"RTP";610761600000;1313147740000;1;"FEROU";"FEROUGE";NA;"P";0;0;"E";6;578992,659999996;6425638,84
3256;10000214;"+PE6";NA;7,59456e+11;NA;1;"CREC6";"CRECHETS (LES)";NA;"P";0;0;"E";6;679400,460000001;7062984
