tension;circuit;début;fin;codeNat_debut;codeNat_fin;x_debut;y_debut;x_fin;y_fin;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
400kV;2;GAUDIERE (LA);ISSEL;GAUDI;ISSEL;673780,9;6238014,58;617593,5;6254451,83;59180;2200;2300;2300;2400;1,775;17,999;111,619;710,592
400kV;1;GAUDIERE (LA);RUEYRES;GAUDI;RUEYR;673780,9;6238014,58;675392,51;6408936,1;175049;2176;2400;2400;2576;5,214;58,322;303,869;1934,492
400kV;1;GAUDIERE (LA);TAMAREAU;GAUDI;TAMAR;673780,9;6238014,58;757826,08;6281826,61;97048;3150;3392;3392;3590;2,036;29,623;184,215;1172,752
400kV;2;GAUDIERE (LA);TAMAREAU;GAUDI;TAMAR;673780,9;6238014,58;757826,08;6281826,61;97048;3150;3392;3392;3590;2,036;28,774;189,164;1204,252
400kV;2;GAUGLIN;ST-ELOI;GAUGL;SSELO;690237,73;6711803,68;716119,27;6654555,14;70830;3195;3561;3561;3780;1,417;18,639;154,61;984,276
225kV;1;GAVRELLE;PERTAIN;GAVRE;PERTA;691870,74;7026556,06;689620,03;6966254,72;62843;956;1010;1010;1088;5,719;25,952;87,467;556,831
225kV;1;GENISSIAT-POSTE;IZERNORE;GEN.P;IZERN;916717,15;6554356,27;896616,68;6569798,51;27258;862;928;928;987;1,928;9,402;54,635;347,817
225kV;1;GENISSIAT-POSTE;SERRIERES;GEN.P;SERRI;916717,15;6554356,27;920331,23;6535915,14;20269;477;566;566;642;1,98;8,5;28;
225kV;1;GENISSIAT-POSTE;VOUGLANS;GEN.P;VOUGL;916717,15;6554356,27;903986,59;6591629,42;40005;853;991;991;1118;2,558;15,756;58,141;370,14
400kV;1;GENISSIAT-POSTE;VIELMOULIN;GEN.P;VIELM;916717,15;6554356,27;827404,37;6693049,91;168213;2200;2556;2556;2800;3,545;51,485;320,809;2042,332
400kV;2;GENISSIAT-POSTE;VIELMOULIN;GEN.P;VIELM;916717,15;6554356,27;827404,37;6693049,91;168248;2200;2556;2556;2864;3,537;51,373;320,113;2037,901
400kV;3;GENISSIAT-POSTE;VIELMOULIN;GEN.P;VIELM;916717,15;6554356,27;827404,37;6693049,91;169194;1236;1236;1236;1236;7,59;58,345;283,746;1806,382
225kV;1;GINESTOUS;LESQUIVE;GINES;LESQU;571847,26;6285602,01;561081,41;6303473,98;27394;1080;1185;1185;1289;1,645;10,967;39,599;252,095
225kV;2;GINESTOUS;LESQUIVE;GINES;LESQU;571847,26;6285602,01;561081,41;6303473,98;27386;1080;1185;1185;1289;1,644;11,017;39,467;251,258
225kV;2;GIVORS;SOLEIL (LE);GIVOR;SOLEI;839375,9;6498524,73;810162,94;6485710,3;34932;639;717;717;783;2,802;13,691;62,194;395,942
225kV;1;GIVORS;MIONS;GIVOR;MIONS;839375,9;6498524,73;853743,01;6510230,23;19391;695;782;782;940;1,62;8,05;35;
225kV;2;GIVORS;MIONS;GIVOR;MIONS;839375,9;6498524,73;853743,01;6510230,23;20765;576;917;917;1260;0,668;6,62;37,748;240,312
225kV;1;GIVORS-BANS;GIVORS;G.BAN;GIVOR;838929,61;6498946,92;839375,9;6498524,73;558;900;1015;1015;1112;0,02;0,19;0;
225kV;2;GIVORS-BANS;GIVORS;G.BAN;GIVOR;838929,61;6498946,92;839375,9;6498524,73;500;468;722;722;899;0,03;0,2;0;
225kV;3;GIVORS-BANS;GIVORS;G.BAN;GIVOR;838929,61;6498946,92;839375,9;6498524,73;465;468;722;722;899;0,03;0,23;1;
225kV;1;GODIN;ST-VICTOR;GODIN;SSVIC;638750,21;6382633,81;684319,23;6328045,42;74374;442;511;511;577;11,175;31,341;99,851;635,67
225kV;1;GODIN;VERLHAGUET;GODIN;VERLH;638750,21;6382633,81;564918,06;6321826,83;96865;819;897;897;974;8,815;41,177;130,74;832,318
225kV;1;GODIN;RUEYRES;GODIN;RUEYR;638750,21;6382633,81;675392,51;6408936,1;46373;637;706;706;793;4,693;19,594;62,849;400,112
225kV;1;GOURJADE;ST-VICTOR;GOURJ;SSVIC;639670,79;6280739,55;684319,23;6328045,42;66436;828;908;908;986;5,852;26,821;93,043;592,333
225kV;1;GOURJADE;VERFEIL;GOURJ;VERFE;639670,79;6280739,55;592807,54;6282056,56;69653;828;908;908;986;5,828;28,348;99,127;631,062
225kV;1;GRAFFENSTADEN;SCHEER;GRAFF;SCHEE;1045612,72;6835873,56;1034591,62;6815867,78;23641;654;758;758;857;2,123;9,657;33,092;210,668
225kV;1;GRAFFENSTADEN;MARLENHEIM;GRAFF;MARL6;1045612,72;6835873,56;1033493,35;6844194,48;18385;843;909;909;996;1,507;7,466;25,948;165,192
225kV;1;GRAND-COURONNE;ST-ETIENNE-DU-ROUVRAY;G.COU;SSROU;554175,88;6918579,68;562315,47;6920246,02;9071;1300;1350;1350;1400;0,544;3,646;13,062;83,153
225kV;2;GRAND-COURONNE;ST-ETIENNE-DU-ROUVRAY;G.COU;SSROU;554175,88;6918579,68;562315,47;6920246,02;9071;1308;1408;1408;1478;0,544;3,646;13,062;83,153
225kV;1;GRAND-COURONNE;VAUPALIERE (LA);G.COU;VAUPA;554175,88;6918579,68;555700,5;6933393,68;25989;1308;1408;1408;1478;1,559;10,443;37,189;236,753
225kV;2;GRAND-COURONNE;VAUPALIERE (LA);G.COU;VAUPA;554175,88;6918579,68;555700,5;6933393,68;25444;1308;1408;1408;1478;1,53;10,18;36,6;
225kV;3;GRAND-COURONNE;VAUPALIERE (LA);G.COU;VAUPA;554175,88;6918579,68;555700,5;6933393,68;25402;1000;1000;1190;1190;1,53;10,21;43,2;
225kV;1;GRAND-COURONNE;ROUGEMONTIER;G.COU;ROUGE;554175,88;6918579,68;535293,77;6918286,96;23798;1308;1408;1408;1478;1,423;9,529;34,165;217,498
225kV;2;GRAND-COURONNE;ROUGEMONTIER;G.COU;ROUGE;554175,88;6918579,68;535293,77;6918286,96;23822;1308;1408;1408;1478;1,43;9,58;34,351;218,688
225kV;1;GRANDE-SYNTHE;HOLQUE;G.SYN;HOLQU;649393,37;7102111,85;644361,4;7084106,16;19435;1308;1408;1408;1478;1,146;7,622;27,637;175,943
225kV;1;GRANDE-SYNTHE;WARANDE;G.SYN;WARAN;649393,37;7102111,85;640900,56;7095113,03;14722;1308;1408;1408;1478;0,884;5,897;21,288;135,526
225kV;2;GRANDE-SYNTHE;WARANDE;G.SYN;WARAN;649393,37;7102111,85;640900,56;7095113,03;14713;1250;1250;1250;1250;0,884;5,893;21,277;135,453
225kV;3;GRANDE-SYNTHE;WARANDE;G.SYN;WARAN;649393,37;7102111,85;640900,56;7095113,03;14198;1308;1408;1408;1478;0,853;5,685;20,547;130,804
225kV;1;GRAND-QUEVILLY;VAUPALIERE (LA);G.QUE;VAUPA;556498,85;6926119,26;555700,5;6933393,68;9478;820;820;1040;1040;0,56;3,82;35;
225kV;1;GRANZAY;ST-FLORENT;GRANZ;SSFLO;428953,97;6574802,58;432684,69;6584399,19;10767;1249;1337;1337;1434;0,644;4,29;15,509;98,733
225kV;2;GRANZAY;ST-FLORENT;GRANZ;SSFLO;428953,97;6574802,58;432684,69;6584399,19;10767;1012;1150;1150;1247;0,645;4,296;15,531;98,871
225kV;1;GRANZAY;NIORT;GRANZ;NIORT;428953,97;6574802,58;436064,44;6588929,82;26683;1249;1337;1337;1434;1,599;10,685;38,267;243,614
400kV;1;GRANZAY;PREGUILLAC;GRANZ;PREGU;428953,97;6574802,58;419400,38;6514644,14;64198;3072;3414;3414;3598;1,35;19,588;121,989;776,608
400kV;2;GRANZAY;PREGUILLAC;GRANZ;PREGU;428953,97;6574802,58;419400,38;6514644,14;64213;3072;3414;3414;3598;1,349;19,588;121,987;776,596
400kV;1;GRANZAY;JUMEAUX (LES);GRANZ;JUMEA;428953,97;6574802,58;465746,33;6638065,45;79944;2200;2300;2300;2400;2,364;24,314;150,815;960,118
400kV;2;GRANZAY;JUMEAUX (LES);GRANZ;JUMEA;428953,97;6574802,58;465746,33;6638065,45;79954;2200;2300;2300;2400;2,364;24,317;150,727;959,56
400kV;1;GRANZAY;VALDIVIENNE;GRANZ;VALDI;428953,97;6574802,58;519683,07;6598869,22;103436;3465;3622;3622;3780;2,07;27,226;225,8;1437,485
400kV;2;GRANZAY;VALDIVIENNE;GRANZ;VALDI;428953,97;6574802,58;519683,07;6598869,22;103445;3465;3622;3622;3780;2,069;27,226;225,797;1437,471
225kV;1;GREZILLAC;GUPIE;GREZI;GUPIE;444562,37;6417906,59;473008,47;6387575,61;43710;831;984;984;1099;2,634;17,483;63,573;404,716
225kV;1;GRISOLLES;SERRE-PONCON;GRISO;S.PON;948943,98;6391526,6;959920,11;6379848,86;17195;1059;1141;1141;1215;1,064;6,729;24,463;155,739
225kV;1;GROS-CAILLOU;MASTAING;G.CAI;MASTA;724148,26;7024363,55;720796,5;7022197,91;4208;1273;1346;1346;1453;0,253;1,676;6,1;38,835
225kV;2;GROS-CAILLOU;MASTAING;G.CAI;MASTA;724148,26;7024363,55;720796,5;7022197,91;4318;1273;1346;1346;1453;0,259;1,72;6,257;39,833
225kV;3;GROS-CAILLOU;MASTAING;G.CAI;MASTA;724148,26;7024363,55;720796,5;7022197,91;6105;975;1030;1030;1110;0,497;2,478;8,751;55,711
225kV;1;GROSNE;GUEUGNON;GROSN;GUEU5;830900,18;6615805,35;781734,95;6612100,66;54965;814;983;983;1099;3,29;21,899;79,311;504,909
225kV;1;GROSNE;MACON;GROSN;MACON;830900,18;6615805,35;836493,34;6577975,75;59040;618;718;718;807;1,892;19,148;107,529;684,552
400kV;1;GROSNE;ST-VULBAS-OUEST;GROSN;SSV.O;830900,18;6615805,35;875338,44;6524027,18;115235;2238;2382;2382;2526;3,567;39,288;198,805;1265,63
400kV;1;GROSNE;VIELMOULIN;GROSN;VIELM;830900,18;6615805,35;827404,37;6693049,91;82310;2138;2356;2356;2522;2,549;28,582;136,878;871,392
225kV;1;GUEBWILLER;VOGELGRUN;GUEBW;VOGEL;1015652,66;6763937,84;1040662,69;6778548,12;34526;1070;1155;1155;1265;2,087;13,943;49,171;313,035
225kV;1;GUEBWILLER;LOGELBACH;GUEBW;LOGEL;1015652,66;6763937,84;1020514,07;6784646,49;28559;1070;1155;1155;1265;1,722;11,524;40,826;259,905
225kV;1;HARCOURT (POSTE BLINDE);RAIE-TORTUE;HARC7;R.TOR;646428,31;6859604,4;644973,28;6854514,89;6997;930;930;1095;1095;0,149;1,351;184,145;1172,307
225kV;2;HARCOURT (POSTE BLINDE);RAIE-TORTUE;HARC7;R.TOR;646428,31;6859604,4;644973,28;6854514,89;6253;660;660;900;900;0,218;0,842;330,827;2106,11
225kV;1;HAVRE (LE);PONT-SEPT;HAVR5;P.SEP;493264,21;6934763,16;495772,13;6936353,47;3952;2200;2300;2300;2400;0,119;1,154;7,797;49,639
225kV;2;HAVRE (LE);PONT-SEPT;HAVR5;P.SEP;493264,21;6934763,16;495772,13;6936353,47;4244;2200;2300;2300;2400;0,127;1,241;8,38;53,348
400kV;2;HAVRE (LE);ROUGEMONTIER;HAVR5;ROUGE;493264,21;6934763,16;535293,77;6918286,96;54113;2104;2300;2300;2400;1,65;16,594;99,091;630,833
400kV;3;HAVRE (LE);ROUGEMONTIER;HAVR5;ROUGE;493264,21;6934763,16;535293,77;6918286,96;54084;2104;2300;2300;2400;1,57;17,87;87;
225kV;1;HOLQUE;LONGUENESSE;HOLQU;LONG9;644361,4;7084106,16;645435,63;7072261,53;12938;969;969;1061;1061;0,782;5,214;23,441;149,229
225kV;2;HOLQUE;LONGUENESSE;HOLQU;LONG9;644361,4;7084106,16;645435,63;7072261,53;12948;1308;1408;1408;1478;0,779;5,192;18,76;119,427
225kV;1;HOLQUE;WARANDE;HOLQU;WARAN;644361,4;7084106,16;640900,56;7095113,03;21021;1300;1350;1350;1400;1,263;8,407;30,405;193,563
400kV;1;HOUDREVILLE;LOGELBACH;HOUDR;LOGEL;927488,59;6828847,31;1020514,07;6784646,49;109145;2055;2277;2277;2458;3,091;35,696;191,803;1221,055
400kV;1;HOUDREVILLE;VINCEY;HOUDR;VINCE;927488,59;6828847,31;946135,21;6811238,55;28045;2214;2450;2450;2630;0,809;8,949;50,988;324,597
400kV;1;HOUDREVILLE;MERY-SUR-SEINE;HOUDR;M.SEI;927488,59;6828847,31;767888,47;6824700,12;162860;2366;2596;2596;2778;4,883;49,515;306,8;1953,151
400kV;2;HOUDREVILLE;MERY-SUR-SEINE;HOUDR;M.SEI;927488,59;6828847,31;767888,47;6824700,12;162850;2366;2596;2596;2778;4,883;49,523;306,846;1953,442
225kV;1;HOURAT (LE);MIEGEBAT;HOURA;MIEGE;420318,59;6215288,95;418436,32;6209857,25;6195;392;542;542;673;0,556;2,595;8,478;53,971
225kV;1;HOURAT (LE);MARSILLON;HOURA;MARSI;420318,59;6215288,95;408736,4;6260624,4;48124;419;580;580;720;4,321;19,708;66,967;426,327
225kV;1;ILE-NAPOLEON;OTTMARSHEIM;I.NAP;OTTMA;1028015,11;6750030,59;1038308,34;6751224,99;11225;1100;1187;1187;1302;0,673;4,467;16,255;103,485
225kV;1;ILE-NAPOLEON;LUTTERBACH;I.NAP;LUTTE;1028015,11;6750030,59;1018911,52;6747798,23;18460;847;985;985;1116;1,107;7,448;26,299;167,426
400kV;1;ISSEL;VERFEIL;ISSEL;VERFE;617593,5;6254451,83;592807,54;6282056,56;38918;2170;2400;2400;2574;1,167;11,809;73,876;470,309
400kV;2;ISSEL;VERFEIL;ISSEL;VERFE;617593,5;6254451,83;592807,54;6282056,56;38897;2170;2400;2400;2574;1,166;11,833;73,294;466,607
225kV;1;ISSOIRE;LIGNAT;ISSOI;LIGNA;719889,96;6494868,06;720632,4;6513415,94;20903;1002;1113;1113;1205;1,28;8,47;30;
225kV;1;ISSOIRE;PRATCLAUX;ISSOI;PRATC;719889,96;6494868,06;751245,46;6430619,74;74277;770;928;928;1037;4,546;30,66;103,282;657,513
225kV;1;JALIS;LESQUIVE;JALIS;LESQU;505188,44;6283338,88;561081,41;6303473,98;71153;828;908;908;986;5,569;28,651;101,393;645,487
225kV;1;JONQUIERES;ST-CESAIRE;JONQU;SSCES;827362,47;6304728,52;807518,6;6302353,16;21709;1055;1055;1230;1230;1,244;8,273;35,11;223,516
225kV;2;JONQUIERES;ST-CESAIRE;JONQU;SSCES;827362,47;6304728,52;807518,6;6302353,16;21840;990;990;1165;1165;1,302;8,682;40,102;255,299
400kV;1;JONQUIERES;TAVEL;JONQU;TAVEL;827362,47;6304728,52;831766,12;6325302,14;25266;2462;2644;2644;2798;0,656;7,267;50,509;321,55
225kV;1;KEMBS;OTTMARSHEIM;KEMBS;OTTMA;1038979,09;6737772,08;1038308,34;6751224,99;13944;539;661;661;754;1,24;5,637;19,768;125,847
225kV;1;KEMBS;SIERENTZ;KEMBS;SIERE;1038979,09;6737772,08;1035577,23;6736880,99;3807;827;891;891;976;0,335;1,586;5,247;33,406
225kV;1;LA FONT;RIORGES;FONT ;RIORG;736412,49;6562223,98;781637,71;6551463,58;50746;358;692;692;883;3,015;20,203;73,372;467,102
225kV;1;LA MOLE;STE-FEYRE;MOLE ;SSFEY;649678,21;6477396,94;616808,04;6566883,75;105922;578;694;694;774;8,123;41,941;154,044;980,672
225kV;1;LA MOLE;RUEYRES;MOLE ;RUEYR;649678,21;6477396,94;675392,51;6408936,1;81267;622;748;748;834;7,221;34,122;110,947;706,313
225kV;2;LA MOLE;RUEYRES;MOLE ;RUEYR;649678,21;6477396,94;675392,51;6408936,1;77606;622;748;748;834;6,805;32,206;104,676;666,385
225kV;1;LANDERNEAU;LOSCOAT;LANDE;LOSCO;165896,51;6842228,66;146228,37;6840354,07;25862;1212;1262;1262;1318;1,551;10,314;37,317;237,566
225kV;1;LANDERNEAU;MARTYRE (LA);LANDE;MARTY;165896,51;6842228,66;168746;6840196,66;3870;1217;1266;1266;1322;0,222;1,324;4,89;31,132
225kV;2;LANDERNEAU;MARTYRE (LA);LANDE;MARTY;165896,51;6842228,66;168746;6840196,66;3831;1056;1123;1123;1189;0,249;1,483;5,498;35,002
