tension;circuit;début;fin;codeNat_debut;codeNat_fin;x_debut;y_debut;x_fin;y_fin;Longueur / length (km);IST_E1 (Amp);IST_IS1 (Amp);IST_IS2 (Amp);IST_H1 (Amp);Rd (Ohm);Xd (Ohm);Hd/2 (µS);Cd (nF)
400kV;1;LONNY;MOULAINE;LONNY;MOULA;813242,82;6970958,43;902412,4;6935182,53;112247;3465;3622;3622;3780;2,26;29,7;245,634;1563,756
400kV;2;LONNY;MOULAINE;LONNY;MOULA;813242,82;6970958,43;902412,4;6935182,53;112252;3465;3622;3622;3780;2,259;29,692;245,577;1563,395
400kV;1;LONNY;MAZURES;LONNY;MAZUR;813242,82;6970958,43;816960,1;6979777,79;10770;2196;2400;2400;2596;0,325;3,36;20,059;127,699
400kV;2;LONNY;MAZURES;LONNY;MAZUR;813242,82;6970958,43;816960,1;6979777,79;10831;2196;2400;2400;2596;0,325;3,339;20,205;128,632
400kV;2;LONNY;MASTAING;LONNY;MASTA;813242,82;6970958,43;720796,5;7022197,91;118259;3465;3622;3622;3780;2,374;31,112;257,916;1641,942
400kV;3;LONNY;MASTAING;LONNY;MASTA;813242,82;6970958,43;720796,5;7022197,91;118189;3465;3622;3622;3780;2,361;31,053;257,801;1641,215
225kV;1;LOSCOAT;MARTYRE (LA);LOSCO;MARTY;146228,37;6840354,07;168746;6840196,66;29488;1280;1332;1332;1382;1,705;11,348;41,059;261,392
225kV;1;LUMES;MOHON;LUMES;MOHON;829534,41;6962470,9;825206,85;6962962;4700;647;749;749;847;0,395;1,79;6,048;38,503
225kV;1;LUMES;STENAY;LUMES;STENA;829534,41;6962470,9;859392;6936734,21;44900;1100;1187;1187;1302;2,551;17,609;64,079;407,938
225kV;3;LUMES;MOHON;LUMES;MOHON;829534,41;6962470,9;825206,85;6962962;5500;328;554;554;694;0,357;2,325;8,43;53,668
225kV;1;LUMES;MAZURES;LUMES;MAZUR;829534,41;6962470,9;816960,1;6979777,79;23715;843;909;909;996;1,937;9,449;33,167;211,15
225kV;2;LUMES;MAZURES;LUMES;MAZUR;829534,41;6962470,9;816960,1;6979777,79;22765;843;909;909;996;1,832;8,917;31,202;198,64
225kV;1;LUTTERBACH;SIERENTZ;LUTTE;SIERE;1018911,52;6747798,23;1035577,23;6736880,99;22900;847;985;985;1116;1,375;9,214;33,013;210,165
225kV;2;LUTTERBACH;SIERENTZ;LUTTE;SIERE;1018911,52;6747798,23;1035577,23;6736880,99;22900;847;985;985;1116;1,375;9,208;33,014;210,171
225kV;1;MALGOVERT;PASSY;MALGO;PASSY;995305,09;6509202,75;988640,7;6541956,91;35004;533;622;622;673;4,59;14,74;48;
225kV;1;MALINTRAT;RULHAT;MALIN;RULHA;715185;6523266,3;720943,39;6523761,2;5747;1034;1149;1149;1244;0,355;2,328;8,146;51,856
225kV;2;MALINTRAT;RULHAT;MALIN;RULHA;715185;6523266,3;720943,39;6523761,2;5787;1034;1149;1149;1244;0,357;2,344;8,205;52,237
225kV;1;MAMBELIN;PONTARLIER;MAMBE;PTARL;976405,33;6702732,46;955471,27;6651149,44;86680;412;449;449;449;9,519;35,036;121,723;774,911
225kV;1;MAMBELIN;PUSY;MAMBE;PUSY ;976405,33;6702732,46;937423,4;6732792,12;77914;525;730;;835;6,231;31,693;109,585;697,642
225kV;1;MAMBELIN;PALENTE;MAMBE;PALEN;976405,33;6702732,46;930864,08;6689707,21;52934;577;706;706;782;6,326;22,083;72,68;462,694
225kV;2;MAMBELIN;PALENTE;MAMBE;PALEN;976405,33;6702732,46;930864,08;6689707,21;52770;577;706;706;807;3,632;21,629;73,883;470,355
400kV;1;MAMBELIN;SIERENTZ;MAMBE;SIERE;976405,33;6702732,46;1035577,23;6736880,99;75255;2070;2282;2282;2400;2,35;24,592;132,447;843,187
400kV;1;MANDARINS;WARANDE;MANDA;WARAN;614318,47;7090366,35;640900,56;7095113,03;28604;3465;3622;3622;3780;0,572;7,547;62,167;395,767
225kV;1;MANOIR (LE);ST-PIERRE-DE-BAILLEUL;MANOI;SSBAI;570458,5;6914548,41;581188,93;6893147;41848;757;946;946;1075;2,544;16,971;59,613;379,507
225kV;1;MARGERIDE;PRATCLAUX;MARGE;PRATC;722298,05;6410243,91;751245,46;6430619,74;38458;792;844;844;905;3,738;15,121;55,942;356,139
225kV;1;MARGERIDE;RUEYRES;MARGE;RUEYR;722298,05;6410243,91;675392,51;6408936,1;47388;802;844;844;919;4,645;19,038;67,969;432,705
400kV;1;MARLENHEIM;SCHEER;MARL6;SCHEE;1033493,35;6844194,48;1034591,62;6815867,78;33046;3294;3622;3622;3780;0,663;8,703;72,079;458,869
400kV;1;MARLENHEIM;VIGY;MARL6;VIGY ;1033493,35;6844194,48;938816,47;6904732,85;137596;3465;3622;3622;3780;2,678;36,336;296,537;1887,813
225kV;1;MARMAGNE;VARENNES (-SUR-FOUZON);MARMA;VARE5;643945,52;6667080,89;593757,71;6677756,58;53196;409;644;644;761;4,746;21,572;74,79;476,126
225kV;1;MARMAGNE;MOUSSEAUX;MARMA;MOUS5;643945,52;6667080,89;602876,38;6635412,65;65313;320;496;496;585;7,48;27,751;87,679;558,182
400kV;1;MARMAGNE;TABARDERIE;MARMA;TABAR;643945,52;6667080,89;665207,66;6738536,16;86084;1838;2036;2036;2140;3,753;29,361;145,573;926,748
400kV;2;MARMAGNE;TABARDERIE;MARMA;TABAR;643945,52;6667080,89;665207,66;6738536,16;90623;1410;1890;1890;2114;2,791;30,898;154,039;980,641
400kV;1;MARQUIS (LE);SAUCATS;MQIS5;SAUCA;420635,2;6440107,39;413349,8;6397088,65;52535;2070;2272;2272;2410;1,595;17,587;89,955;572,668
225kV;1;MARSILLON;PRAGNERES;MARSI;PRAG5;408736,4;6260624,4;456271,52;6196243,76;84292;565;673;673;765;7,841;34,13;118,814;756,39
225kV;1;MARTYRE (LA);SQUIVIDAN;MARTY;SQUIV;168746;6840196,66;174841,62;6792039,08;51302;1056;1123;1123;1189;3,038;20,399;74,183;472,264
225kV;1;MASQUET;PESSAC;MASQU;PESSA;386765,25;6399068,16;410123,63;6416616,42;31540;932;1049;1049;1126;1,892;12,554;45,665;290,71
225kV;1;MASTAING;PERIZET (LE);MASTA;PERIZ;720796,5;7022197,91;726115,52;6998518,66;24738;975;1030;1030;1110;2,219;10,244;35,644;226,917
225kV;1;MASTAING;PONT-SUR-SAMBRE;MASTA;P.SAM;720796,5;7022197,91;761730,78;7014863,43;44098;975;976;1030;1104;3,865;17,913;66,137;421,04
225kV;1;MAUBEUGE;PONT-SUR-SAMBRE;MAUBE;P.SAM;766269,85;7018633,1;761730,78;7014863,43;6968;956;1010;1010;1088;0,588;2,808;9,873;62,855
225kV;1;MAUGES (LES);VERTOU;MAUGE;VERTO;401951,56;6692651,52;360770,2;6685478,98;47048;488;682;682;795;4,191;19,19;65,699;418,254
225kV;1;MAUREIX (LE);PEYRAT-LE-CHATEAU;MAURE;P.CHA;581051,16;6537413,77;607125,7;6523188,48;35567;725;800;;865;2,673;14,733;48,939;311,556
400kV;1;MENUEL;TOLLEVAST;MENUE;TOLLE;368332,39;6940413,87;367480,82;6953628,45;14210;2662;2878;2878;2996;0,428;4,356;26,731;170,175
400kV;2;MENUEL;TOLLEVAST;MENUE;TOLLE;368332,39;6940413,87;367480,82;6953628,45;14210;2662;2878;2878;2996;0,429;4,347;26,977;171,743
400kV;1;MENUEL;TAUTE;MENUE;TAUTE;368332,39;6940413,87;382239,9;6909182,11;35856;3465;3622;3622;3780;0,72;9,468;78,603;500,4
400kV;2;MENUEL;TAUTE;MENUE;TAUTE;368332,39;6940413,87;382239,9;6909182,11;36440;3465;3622;3622;3780;0,729;9,584;79,563;506,516
400kV;3;MENUEL;TAUTE;MENUE;TAUTE;368332,39;6940413,87;382239,9;6909182,11;36159;3465;3622;3622;3780;0,72;9,468;78,603;500,4
400kV;4;MENUEL;TAUTE;MENUE;TAUTE;368332,39;6940413,87;382239,9;6909182,11;36160;3465;3622;3622;3780;0,72;9,468;78,603;500,4
225kV;1;MERLATIERE;SOULLANS;MERLA;SOULL;369787,17;6639732,11;327397,3;6643143,61;43410;1249;1337;1337;1434;2,603;17,492;62,187;395,897
225kV;1;MERLATIERE;SIRMIERE;MERLA;SIRMI;369787,17;6639732,11;362622,08;6624303,52;25917;1249;1337;1337;1432;1,514;10,322;37,288;237,381
400kV;1;MERY-SUR-SEINE;VESLE;M.SEI;VESLE;767888,47;6824700,12;790498,96;6900893,05;80810;2200;2300;2300;2400;2,504;26,819;140,848;896,669
400kV;1;MERY-SUR-SEINE;VIELMOULIN;M.SEI;VIELM;767888,47;6824700,12;827404,37;6693049,91;149915;2600;2700;2700;2800;3,149;45,724;284,641;1812,083
400kV;2;MERY-SUR-SEINE;VIELMOULIN;M.SEI;VIELM;767888,47;6824700,12;827404,37;6693049,91;149920;2600;2700;2700;2800;3,147;45,696;284,466;1810,97
400kV;1;MEZEROLLES;YVELINES-OUEST;MEZE5;YVE.O;607795,98;6871087,74;613956,06;6856615,58;17274;2200;2300;2300;2400;0,518;5,251;32,561;207,288
400kV;1;MEZEROLLES;TILLEUL;MEZE5;TILL5;607795,98;6871087,74;551429,33;6883091,9;70737;2200;2300;2300;2400;2,123;21,523;133,337;848,851
400kV;2;MEZEROLLES;TILLEUL;MEZE5;TILL5;607795,98;6871087,74;551429,33;6883091,9;70115;2200;2300;2300;2400;2,106;21,35;132,29;842,184
225kV;1;MEZEROLLES;PORCHEVILLE;MEZE5;PORCH;607795,98;6871087,74;609515,76;6875296,19;6148;520;782;782;998;0,371;2,449;8,844;56,301
225kV;2;MEZEROLLES;PORCHEVILLE;MEZE5;PORCH;607795,98;6871087,74;609515,76;6875296,19;6134;520;782;782;998;0,371;2,447;8,849;56,334
225kV;3;MEZEROLLES;PORCHEVILLE;MEZE5;PORCH;607795,98;6871087,74;609515,76;6875296,19;6406;511;768;768;979;0,366;2,445;8,632;54,95
400kV;2;MEZEROLLES;VILLEJUST;MEZE5;VLEJU;607795,98;6871087,74;643400,17;6842199,35;60042;2200;2300;2300;2400;1,802;18,299;112,975;719,223
225kV;1;MIONS;MOIRANS;MIONS;MOIRA;853743,01;6510230,23;900015,61;6473081,29;67808;579;672;672;755;5,95;27,53;92;
225kV;1;MIONS;MOUCHE (LA);MIONS;MOUCH;853743,01;6510230,23;843435,15;6515084,5;13700;1800;2030;2030;2224;0,42;4,24;26;
225kV;1;MIONS;PONT-EVEQUE;MIONS;P.EVE;853743,01;6510230,23;850503,86;6493190,23;18949;880;992;992;1086;1,22;8,32;27;
225kV;1;MIONS;VENISSIEUX;MIONS;VENIS;853743,01;6510230,23;848243,4;6514749,41;9344;900;1015;1015;1112;0,33;3,01;17;
225kV;2;MIONS;MOUCHE (LA);MIONS;MOUCH;853743,01;6510230,23;843435,15;6515084,5;13921;1800;1940;2030;2224;0,44;4,31;27;
225kV;2;MIONS;VENISSIEUX;MIONS;VENIS;853743,01;6510230,23;848243,4;6514749,41;9493;1050;1050;1270;1270;0,32;2,83;47;
225kV;1;MIONS;ST-VULBAS-EST;MIONS;SSV.E;853743,01;6510230,23;875540;6524669,56;33600;297;442;442;545;3,84;14,24;45;
225kV;1;MITRY-MORY;SAUSSET;M.MO5;SAUS5;672755,93;6874052,81;668825,85;6875037,37;4933;731;835;835;930;0,397;1,989;7,016;44,663
225kV;1;MITRY-MORY;VILLEVAUDE;M.MO5;VLEVA;672755,93;6874052,81;675266,82;6867147,42;8375;899;984;984;1061;0,727;3,391;11,867;75,548
400kV;1;MOLIERE;QUINTES (LES);MOLIE;QUINT;452850,96;6757874,27;493797,27;6757441,25;46831;3465;3622;3622;3780;0,984;12,421;102,268;651,059
400kV;1;MONTEZIC;RUEYRES;MTEZI;RUEYR;671812,55;6403377,37;675392,51;6408936,1;6805;1677;1875;1875;2100;0,163;2,758;9,745;62,039
225kV;1;MONTLUCON;MONTVICQ;MTLUC;MTVIC;669583,54;6580127,94;686225,64;6578463,72;17280;555;692;692;790;1,752;7,035;24,243;154,337
225kV;1;MONTOIS;ST-HUBERT;MTOIS;SSHUB;919361,18;6905685,2;927853,54;6915705,66;14580;456;556;556;634;1,92;6,187;19,65;125,097
225kV;1;MONTPELLIER;TAMAREAU;MTPEL;TAMAR;768636,66;6276073,49;757826,08;6281826,61;20339;1233;1320;1320;1389;1,217;8,128;29,297;186,513
225kV;2;MONTPELLIER;TAMAREAU;MTPEL;TAMAR;768636,66;6276073,49;757826,08;6281826,61;20170;1161;1241;1241;1306;1,309;8,029;29,628;188,617
225kV;3;MONTPELLIER;TAMAREAU;MTPEL;TAMAR;768636,66;6276073,49;757826,08;6281826,61;20543;1200;1200;1320;1389;1,216;8,161;39,025;248,442
225kV;1;MONTPEZAT;PRATCLAUX;MTPEZ;PRATC;797456,35;6401122,86;751245,46;6430619,74;66141;346;524;524;649;5,976;26,796;93,08;592,563
225kV;1;MORBRAS;VILLENEUVE-ST-GEORGES;MORBR;V.GEO;673992,03;6853299,64;659328,74;6850460,59;18381;886;886;984;1061;1,37;6,904;74,821;476,325
400kV;1;MORBRAS;VILLEVAUDE;MORBR;VLEVA;673992,03;6853299,64;675266,82;6867147,42;15315;3465;3622;3622;3780;0,244;3,966;37,356;237,815
400kV;2;MORBRAS;VILLEVAUDE;MORBR;VLEVA;673992,03;6853299,64;675266,82;6867147,42;15228;3465;3622;3622;3780;0,233;3,897;33,981;216,329
225kV;1;MOUGINS;PLAN-DE-GRASSE;MOUGI;P.GR5;1023688,24;6284333,09;1017815,88;6292001,53;12987;1000;1000;1160;1185;0,584;4,203;65,078;414,298
400kV;1;MOULAINE;VIGY;MOULA;VIGY ;902412,4;6935182,53;938816,47;6904732,85;61570;3465;3622;3622;3780;1,234;16,217;134,09;853,646
400kV;1;MUHLBACH;SCHEER;MUHLB;SCHEE;1040153,4;6766115,97;1034591,62;6815867,78;57810;1740;2010;2010;2262;1,59;17,975;107,675;685,477
400kV;1;MUHLBACH;VINCEY;MUHLB;VINCE;1040153,4;6766115,97;946135,21;6811238,55;111165;2055;2277;2277;2458;3,186;35,994;198,357;1262,781
400kV;1;MUHLBACH;SIERENTZ;MUHLB;SIERE;1040153,4;6766115,97;1035577,23;6736880,99;32688;2200;2300;2300;2400;1,3;10,8;33,93;216,005
400kV;2;MUHLBACH;SIERENTZ;MUHLB;SIERE;1040153,4;6766115,97;1035577,23;6736880,99;32497;2200;2300;2300;2400;1,3;10,7;44,7;284,569
225kV;1;NEMOURS;VILLEMANDEUR;NEMOU;VLEMA;676812,75;6792786,66;678852,41;6765959,09;28561;520;782;782;998;1,682;11,498;40,976;260,862
225kV;1;NEOULES;VINS;NEOUL;VINS ;945420,04;6246765,15;952030,28;6264584,49;27764;1057;1057;1160;1224;1,669;11,088;45,903;292,225
400kV;1;NEOULES;TRANS;NEOUL;TRANS;945420,04;6246765,15;981028,45;6274088,71;45633;2128;2326;2326;2482;1,357;13,765;85,099;541,759
400kV;2;NEOULES;TRANS;NEOUL;TRANS;945420,04;6246765,15;981028,45;6274088,71;45205;2128;2326;2326;2482;1,357;13,765;85,099;541,759
400kV;1;NEOULES;REALTOR;NEOUL;REALT;945420,04;6246765,15;889736,8;6263661,17;67690;2006;2192;2192;2336;2,16;20,427;128,312;816,86
400kV;2;NEOULES;REALTOR;NEOUL;REALT;945420,04;6246765,15;889736,8;6263661,17;67681;2006;2192;2192;2336;2,16;20,427;128,312;816,86
225kV;1;NIORT;VAL DE SEVRE;NIORT;V.SEV;436064,44;6588929,82;420985,91;6634331,9;52463;803;858;858;918;6,196;22,472;73,329;466,824
225kV;1;NOGENTEL;ORMES;NOGEN;ORMES;729716,64;6880502,97;771026,7;6904471,83;57945;;;;;3,502;23,311;84,537;538,177
225kV;1;ONET-LE-CHATEAU;RUEYRES;O.CHA;RUEYR;668717,6;6365436,53;675392,51;6408936,1;49985;902;1004;1004;1131;2,935;20,096;71,476;455,028
225kV;1;ORMES;VESLE;ORMES;VESLE;771026,7;6904471,83;790498,96;6900893,05;23535;1172;1285;1285;1388;1,432;9,593;34,39;218,932
225kV;3;ORMES;VESLE;ORMES;VESLE;771026,7;6904471,83;790498,96;6900893,05;21661;1140;1248;1248;1347;1,311;8,738;30,562;194,565
225kV;1;PALUN (LA);SAINTE-TULLE 1;PALUN;SSTUL;901250,86;6266240,12;923357,37;6302221,92;45834;816;889;889;947;3,511;18,486;65,282;415,598
225kV;1;PALUN (LA);SEPTEMES;PALUN;SEPTE;901250,86;6266240,12;890696,36;6258088,76;16137;1375;1437;1437;1500;0,524;6,439;24,104;153,451
225kV;2;PALUN (LA);SEPTEMES;PALUN;SEPTE;901250,86;6266240,12;890696,36;6258088,76;15600;1062;1160;1160;1238;0,911;6,115;21,862;139,176
225kV;1;PASSY;PRESSY;PASSY;PRESS;988640,7;6541956,91;975103,66;6559587,48;26303;619;687;687;744;2,315;10,285;39,945;254,3
225kV;1;PATIS;REMISE;PATIS;REMIS;634693,02;6921760,02;622186,19;6910360,58;19879;1035;1035;1235;1235;;;;
225kV;1;PATIS;TERRIER;PATIS;TERRI;634693,02;6921760,02;646009,4;6902215,34;25455;910;910;1105;1105;1,426;9,744;47,213;300,57
225kV;1;PELISSIER;ST-VICTOR;PELIS;SSVIC;630827,95;6317700,74;684319,23;6328045,42;55118;1018;1117;1117;1213;3,91;22,5;81;
225kV;1;PERIZET (LE);SETIER;PERIZ;SETIE;726115,52;6998518,66;724906,88;6971637,78;27058;579;709;709;822;2,404;11,2;37,373;237,925
225kV;1;PERTAIN;ROYE;PERTA;ROYE ;689620,03;6966254,72;685611,93;6955013,21;12168;566;692;692;802;1,083;4,936;25,181;160,31
225kV;1;PESSAC;SAUCATS;PESSA;SAUCA;410123,63;6416616,42;413349,8;6397088,65;21293;938;980;1055;1132;1,234;8,332;30,988;197,276
225kV;2;PESSAC;SAUCATS;PESSA;SAUCA;410123,63;6416616,42;413349,8;6397088,65;21233;932;1049;1049;1126;1,235;8,334;31,663;201,575
225kV;1;PETITE-ROSSELLE;SARREGUEMINES;P.ROS;SARR6;982856,62;6906659,76;997670;6896105,5;24575;843;909;909;996;1,985;10,313;36,483;232,259
225kV;1;PETITE-ROSSELLE;ST-AVOLD;P.ROS;SSAVO;982856,62;6906659,76;970124,07;6899297,08;15830;715;715;840;840;1,424;6,322;31,429;200,082
225kV;1;PIED-DE-BORNE;PRATCLAUX;P.BOR;PRATC;778418,59;6375999,31;751245,46;6430619,74;68823;315;400;400;493;9,132;29,257;90,871;578,503
225kV;1;PIERRETTE (LA);VERTEFEUILLE;PRRTT;VERTE;699476,69;7058412,16;702640,7;7064377,39;10423;825;825;990;990;0,951;4,24;17,99;114,525
225kV;1;PLAINE HAUTE;ROSPEZ;P.HA5;ROSPE;265552,04;6830584,18;229502,19;6866226,2;54579;1375;1437;1437;1484;3,275;21,742;79,043;503,205
225kV;1;PLAINE HAUTE;TREGUEUX;P.HA5;TREGU;265552,04;6830584,18;273994,23;6836773,15;13973;1212;1262;1262;1318;0,835;5,58;20,08;127,834
225kV;2;PLAINE HAUTE;TREGUEUX;P.HA5;TREGU;265552,04;6830584,18;273994,23;6836773,15;13946;1280;1332;1332;1382;0,837;5,591;20,121;128,092
225kV;1;PLAISANCE;ROMAINVILLE;PLAIS;ROMAI;664686,98;6862924,59;658743,88;6866230,74;7921;480;480;835;835;0,393;2,335;171,895;1094,318
225kV;1;PLAN-D ORGON;ROQUEROUSSE;P.ORG;RQROU;862311,44;6304938,58;869398,91;6288216,84;19640;816;889;889;947;1,755;8,022;27,658;176,076
225kV;1;PLAN-D ORGON;TAVEL;P.ORG;TAVEL;862311,44;6304938,58;831766,12;6325302,14;41590;1062;1160;1160;1238;0,841;10,965;89,757;571,413
225kV;1;PLESSIS-GASSOT;SEINE;P.GAS;SEINE;658607,94;6881590,99;651577,32;6869810,06;17062;888;950;972;1049;1,303;6,855;34,486;219,548
225kV;3;PLESSIS-GASSOT;SEINE;P.GAS;SEINE;658607,94;6881590,99;651577,32;6869810,06;16391;1796;1800;1975;2100;0,491;4,808;37,149;236,501
225kV;1;PLESSIS-GASSOT;SAUSSET;P.GAS;SAUS5;658607,94;6881590,99;668825,85;6875037,37;14028;899;984;984;1061;1,154;5,691;20,011;127,395
400kV;1;PLESSIS-GASSOT;SAUSSET;P.GAS;SAUS5;658607,94;6881590,99;668825,85;6875037,37;13828;2300;2522;2522;2696;0,425;4,707;23,536;149,832
400kV;4;PLESSIS-GASSOT;VILLEVAUDE;P.GAS;VLEVA;658607,94;6881590,99;675266,82;6867147,42;25390;2200;2300;2300;2400;0,785;8,731;42,808;272,521
400kV;1;PLESSIS-GASSOT;TERRIER;P.GAS;TERRI;658607,94;6881590,99;646009,4;6902215,34;29084;2300;2522;2522;2696;0,805;9,079;54,359;346,061
400kV;2;PLESSIS-GASSOT;TERRIER;P.GAS;TERRI;658607,94;6881590,99;646009,4;6902215,34;28911;2200;2300;2300;2400;0,802;8,904;55,208;351,462
400kV;3;PLESSIS-GASSOT;TERRIER;P.GAS;TERRI;658607,94;6881590,99;646009,4;6902215,34;27362;3465;3622;3622;3780;0,551;7,223;59,565;379,203
400kV;4;PLESSIS-GASSOT;TERRIER;P.GAS;TERRI;658607,94;6881590,99;646009,4;6902215,34;27372;3465;3622;3622;3780;0,552;7,225;59,588;379,35
225kV;1;PONTEAU;REALTOR;PONTE;REALT;864144,65;6253619,29;889736,8;6263661,17;34309;1062;1160;1160;1238;1,009;10,357;63,218;402,457
225kV;2;PONTEAU;REALTOR;PONTE;REALT;864144,65;6253619,29;889736,8;6263661,17;34309;1062;1160;1160;1238;1,009;10,364;63,255;402,693
225kV;1;PONT-SEPT;SAINNEVILLE;P.SEP;SAINN;495772,13;6936353,47;502749,27;6942591,15;11365;455;455;560;560;0,62;3,468;137,916;878,004
225kV;1;PONT-SEPT;SANDOUVILLE;P.SEP;SANDO;495772,13;6936353,47;504241,88;6934128,45;14613;1308;1408;1408;1478;0,877;5,875;21,019;133,813
225kV;1;PORCHEVILLE;PUISEUX;PORCH;PUISE;609515,76;6875296,19;627868,52;6884267,36;22686;511;768;768;979;1,381;9,031;32,695;208,143
225kV;1;PORCHEVILLE;ST-PIERRE-DE-BAILLEUL;PORCH;SSBAI;609515,76;6875296,19;581188,93;6893147;48359;1140;1248;1248;1347;2,91;19,42;68,057;433,267
225kV;1;PORTET-ST-SIMON;RIVENEUVE;P.SIM;RIVEN;569561,91;6271236,9;589337,9;6225551,26;54760;813;890;890;966;4,996;22,853;75,248;479,045
225kV;1;PORTET-ST-SIMON;ST-ORENS;P.SIM;SSORE;569561,91;6271236,9;579645;6273769,05;11937;780;780;940;940;0,722;4,696;28,834;183,566
225kV;1;PORTET-ST-SIMON;TARASCON;P.SIM;TARAS;569561,91;6271236,9;585217,4;6195682,28;79654;430;550;;630;7,159;32,6;111,97;712,821
225kV;2;PORTET-ST-SIMON;VERFEIL;P.SIM;VERFE;569561,91;6271236,9;592807,54;6282056,56;29255;780;780;940;940;1,773;11,735;54,066;344,193
225kV;3;PORTET-ST-SIMON;VERFEIL;P.SIM;VERFE;569561,91;6271236,9;592807,54;6282056,56;30788;756;858;858;921;2,379;12,608;43,096;274,359
225kV;1;PORT-JEROME;SANDOUVILLE;P.JER;SANDO;522414,94;6934354,27;504241,88;6934128,45;22280;1308;1408;1408;1478;1,336;8,951;32,069;204,159
225kV;1;PORT-JEROME;VAUPALIERE (LA);P.JER;VAUPA;522414,94;6934354,27;555700,5;6933393,68;41042;618;745;745;819;3,64;16,84;61;
225kV;1;PORT-JEROME;ROUGEMONTIER;P.JER;ROUGE;522414,94;6934354,27;535293,77;6918286,96;25271;720;720;950;950;1,498;10,023;68,397;435,432
225kV;1;POTEAU-ROUGE;THEIX;P.ROU;THEIX;228345,42;6766240,29;273997,65;6744421,25;52773;1212;1262;1262;1318;3,166;21,043;76,364;486,15
225kV;1;POTEAU-ROUGE;SQUIVIDAN;P.ROU;SQUIV;228345,42;6766240,29;174841,62;6792039,08;61476;1280;1332;1332;1382;3,689;24,528;88,86;565,699
225kV;1;PRATCLAUX;SANSSAC (L'EGLISE);PRATC;SANSS;751245,46;6430619,74;763015,86;6438710,23;14685;639;717;717;860;1,338;6,033;20,679;131,644
225kV;1;PRAZ-ST-ANDRE;SAUSSAZ II (LA);P.AND;SAUS2;981471,89;6462767,65;972713,38;6462638,96;9854;966;1076;1076;1168;0,68;3,98;14;
225kV;1;PRELES (LES);SEREIN;PRELE;SEREI;745485,48;6745478,81;755388,9;6754244,68;13940;1100;1187;1187;1302;0,842;5,611;20,281;129,112
225kV;2;PRELES (LES);SEREIN;PRELE;SEREI;745485,48;6745478,81;755388,9;6754244,68;14135;843;909;909;996;1,266;5,727;19,959;127,06
225kV;1;PUSY;ROLAMPONT;PUSY ;ROLAM;937423,4;6732792,12;871020,31;6760587,4;74096;827;891;891;976;6,717;30,544;102,916;655,18
225kV;1;PUTEAUX;PUTEAUX IMPASSE LEGAGNEUX;PUTEA;PUTE5;643900,48;6864711,84;644033,33;6864218,06;165;;;;;0,01;0,01;5;31,831
225kV;2;PUTEAUX;PUTEAUX IMPASSE LEGAGNEUX;PUTEA;PUTE5;643900,48;6864711,84;644033,33;6864218,06;303;;;;;0,01;0,01;5;31,831
225kV;1;PYMONT;VOUGLANS;PYMON;VOUGL;895630,25;6624304,69;903986,59;6591629,42;37473;704;866;866;990;2,284;14,652;54,043;344,048
225kV;1;QUATRE-SEIGNEURS;TAMAREAU;Q.SEI;TAMAR;767943,38;6283518,15;757826,08;6281826,61;11660;855;855;1040;1040;0,684;4,549;29,943;190,626
225kV;1;QUINTES (LES);ST-CALAIS;QUINT;SSCAL;493797,27;6757441,25;530381,9;6759948,19;39236;1249;1316;1316;1389;2,354;15,737;56,228;357,959
225kV;1;RAIE-TORTUE;VILLEJUST;R.TOR;VLEJU;644973,28;6854514,89;643400,17;6842199,35;15924;1040;1285;1285;1388;0,478;4,652;31,519;200,655
225kV;2;RAIE-TORTUE;VILLEJUST;R.TOR;VLEJU;644973,28;6854514,89;643400,17;6842199,35;15219;1172;1285;1285;1388;0,453;4,383;29,994;190,948
225kV;1;RASSUEN;ROQUEROUSSE;RASSU;RQROU;859185,62;6268094,87;869398,91;6288216,84;30192;1062;1160;1160;1238;1,76;12,056;44,545;283,583
225kV;1;REALTOR;SEPTEMES;REALT;SEPTE;889736,8;6263661,17;890696,36;6258088,76;6966;1062;1160;1160;1238;0,413;2,766;9,904;63,053
225kV;3;REALTOR;SEPTEMES;REALT;SEPTE;889736,8;6263661,17;890696,36;6258088,76;7112;1062;1160;1160;1238;0,382;2,562;12,325;78,464
400kV;1;REALTOR;TAVEL;REALT;TAVEL;889736,8;6263661,17;831766,12;6325302,14;91268;2128;2326;2326;2482;2,735;27,716;171,851;1094,04
400kV;2;REALTOR;TAVEL;REALT;TAVEL;889736,8;6263661,17;831766,12;6325302,14;91202;2128;2326;2326;2482;2,731;27,719;171,787;1093,632
400kV;1;REMISE;TERRIER;REMIS;TERRI;622186,19;6910360,58;646009,4;6902215,34;28714;3465;3622;3622;3780;0,576;7,565;62,452;397,585
400kV;2;REMISE;TERRIER;REMIS;TERRI;622186,19;6910360,58;646009,4;6902215,34;28730;3465;3622;3622;3780;0,576;7,568;62,645;398,809
400kV;1;REVIGNY;VIGY;REVIG;VIGY ;846569,91;6859435,94;938816,47;6904732,85;128838;2196;2422;2422;2596;3,893;41,123;228,547;1454,977
225kV;1;RICHEMONT;ST-HUBERT;RICHE;SSHUB;931325,51;6913947,19;927853,54;6915705,66;3770;413;714;714;899;0,254;1,501;5,381;34,258
225kV;1;RIVENEUVE;TARASCON;RIVEN;TARAS;589337,9;6225551,26;585217,4;6195682,28;35577;716;807;807;887;3,286;14,921;49,593;315,716
